Week,TeamMembers,WeeklyVelocity,TaskCountCompleted,TotalTaskCount,WeeksUntilCompletion
1,5,10,10,1000,99
2,5,10,20,1000,98
3,5,15,35,1000,97
4,5,15,50,1000,96
5,5,7,57,1000,95
6,5,7,64,1000,94
7,5,12,76,1000,93
8,5,12,88,1000,92
9,5,9,97,1000,91
10,5,9,106,1000,90
11,5,11,117,1000,89
12,5,11,128,1000,88
13,5,8,136,1000,87
14,5,8,144,1000,86
15,5,10,154,1000,85
16,5,10,164,1000,84
17,5,13,177,1000,83
18,5,13,190,1000,82
19,5,6,196,1000,81
20,5,6,202,1000,80
21,5,14,216,1000,79
22,5,14,230,1000,78
23,5,5,235,1000,77
24,5,5,240,1000,76
25,5,12,252,1000,75
26,5,12,264,1000,74
